model,item,feature,value,shap_value,expected_value
DRF_1,1,Anth,299,-0.5201137609431272,2.5603869701381665
DRF_1,2,Anth,544,-0.563813505095174,2.5166872259861197
DRF_1,3,Anth,522,-0.5896038925220743,2.490896838559219
DRF_1,4,Anth,478,-0.543231451001607,2.5372692800796868
DRF_1,5,Anth,588,-0.5089204129899103,2.5715803180913834
DRF_1,6,Anth,677,-0.3584612572881562,2.7220394737931373
DRF_1,7,Anth,639,-0.4780130664986822,2.602487664582611
DRF_1,8,Anth,494,-0.5912143640133022,2.4892863670679914
DRF_1,9,Anth,609,-0.36947185670336,2.7110288743779334
DRF_1,10,Anth,565,-0.5054291544471217,2.575071576634172
DRF_1,11,Anth,655,-0.37469541906700404,2.7058053120142893
DRF_1,12,Anth,861,0.48884091734319934,3.569341648424493
DRF_1,13,Anth,642,-0.4252482333944903,2.6552524976868033
DRF_1,14,Anth,436,-0.5475717287793844,2.532929002301909
DRF_1,15,Anth,576,-0.5195007918740224,2.560999939207271
DRF_1,16,Anth,506,-0.5986309088330868,2.481869822248207
DRF_1,17,Anth,749,-0.19303575783357776,2.887464973247716
DRF_1,18,Anth,571,-0.4721003898272386,2.608400341254055
DRF_1,19,Anth,761,-0.18100861967568327,2.8994921114056105
DRF_1,20,Anth,499,-0.6147089729314309,2.4657917581498627
DRF_1,21,Anth,754,-0.1279468201972236,2.95255391088407
DRF_1,22,Anth,725,-0.24370278999732176,2.836797941083972
DRF_1,23,Anth,833,0.4463785330258424,3.526879264107136
DRF_1,24,Anth,830,0.5007766811885165,3.58127741226981
DRF_1,25,Anth,933,0.7533998842193184,3.833900615300612
DRF_1,26,Anth,613,-0.42972176532909134,2.650778965752202
DRF_1,27,Anth,548,-0.5359671966156417,2.5445335344656517
DRF_1,28,Anth,765,-0.10977476244868543,2.970725968632608
DRF_1,29,Anth,683,-0.29473912644020245,2.785761604641091
DRF_1,30,Anth,922,0.7307999816706827,3.8113007127519762
DRF_1,31,Anth,763,-0.1615268640568726,2.918973867024421
DRF_1,32,Anth,518,-0.6134183113817235,2.4670824196995698
DRF_1,33,Anth,656,-0.34749634500745336,2.73300438607384
DRF_1,34,Anth,644,-0.43644919588464676,2.6440515351966467
DRF_1,35,Anth,758,-0.15173458824293598,2.9287661428383576
DRF_1,36,Anth,877,0.5816771746531391,3.6621779057344326
DRF_1,37,Anth,901,0.7061860379572321,3.7866867690385257
DRF_1,38,Anth,480,-0.5468178910600858,2.533682840021208
DRF_1,39,Anth,793,-0.08658473444176462,2.993915996639529
DRF_1,40,Anth,718,-0.24313170081603533,2.837369030265258
DRF_1,41,Anth,784,-0.21064814818445704,2.8698525828968364
DRF_1,42,Anth,765,-0.2454731664593099,2.8350275646219836
DRF_1,43,Anth,481,-0.5923222770249983,2.4881784540562952
DRF_1,44,Anth,655,-0.3334856237453664,2.747015107335927
DRF_1,45,Anth,469,-0.5902549341887411,2.4902457968925527
DRF_1,46,Anth,585,-0.49284234889156603,2.5876583821897277
DRF_1,47,Anth,684,-0.35556393149390586,2.724936799587388
DRF_1,48,Anth,497,-0.6031653569325026,2.477335374148791
DRF_1,1,BW,1.99,-0.07911869515365377,3.00138203592764
DRF_1,2,BW,1.88,-0.12601653872090568,2.954484192360388
DRF_1,3,BW,1.93,-0.0555898208846477,3.024910910196646
DRF_1,4,BW,2.11,-0.3541552448612558,2.726345486220038
DRF_1,5,BW,2.01,-0.27687545684956016,2.8036252742317336
DRF_1,6,BW,1.98,-0.06361933477353598,3.0168813963077574
DRF_1,7,BW,1.73,0.04997030338435793,3.1304710344656517
DRF_1,8,BW,1.75,0.043516995635820455,3.124017726717114
DRF_1,9,BW,1.67,0.06668037282880296,3.1471811039100963
DRF_1,10,BW,2.06,-0.5037615740377652,2.5767391570435283
DRF_1,11,BW,1.85,-0.04099658865764916,3.0395041424236444
DRF_1,12,BW,2.03,-0.34083744515365255,2.739663285927641
DRF_1,13,BW,2.01,-0.26904392052899406,2.8114568105522997
DRF_1,14,BW,1.99,-0.0317639802413725,3.048736750839921
DRF_1,15,BW,2.1,-0.587871588657648,2.4926291424236453
DRF_1,16,BW,2.11,-0.5496999877804551,2.5308007433008384
DRF_1,17,BW,1.9,-0.0460602459851773,3.034440485096116
DRF_1,18,BW,2.02,-0.4561784234529701,2.6243223076283235
DRF_1,19,BW,1.52,0.3702751889563442,3.450775920037638
DRF_1,20,BW,1.73,0.03982775952470985,3.1203284906060036
DRF_1,21,BW,1.48,0.29365405706111647,3.37415478814241
DRF_1,22,BW,1.89,-0.09686433955242912,2.983636391528864
DRF_1,23,BW,1.73,0.04163620869318663,3.1221369397744803
DRF_1,24,BW,1.92,-0.029513888845316694,3.050986842235977
DRF_1,25,BW,1.6,0.3672293799096056,3.447730110990899
DRF_1,26,BW,1.73,0.025619060694299867,3.106119791775593
DRF_1,27,BW,1.77,0.07946134870599575,3.1599620797872894
DRF_1,28,BW,1.75,0.04565286919561723,3.126153600276911
DRF_1,29,BW,1.84,-0.015864857434355506,3.064635873646938
DRF_1,30,BW,1.97,-0.07594343930570058,3.004557291775593
DRF_1,31,BW,1.67,0.018686038055266696,3.09918676913656
DRF_1,32,BW,1.93,-0.0030381944226588464,3.0774625366586346
DRF_1,33,BW,1.87,-0.05030153506593424,3.030199196015359
DRF_1,34,BW,1.82,0.07657163744868611,3.1570723685299797
DRF_1,35,BW,1.89,-0.045626218207399205,3.0348745128738943
DRF_1,36,BW,1.95,-0.06817662644020428,3.012324104641089
DRF_1,37,BW,1.71,0.038468567273246435,3.11896929835454
DRF_1,38,BW,1.69,0.06299113671769097,3.1434918677989847
DRF_1,39,BW,1.73,0.07811738559377093,3.1586181166750644
DRF_1,40,BW,1.95,-0.04462110124833418,3.0358796298329596
DRF_1,41,BW,2.01,-0.3046037401372241,2.7758969909440694
DRF_1,42,BW,2.28,-0.5145247013945339,2.5659760296867598
DRF_1,43,BW,1.8,0.029867964203071473,3.110368695284365
DRF_1,44,BW,1.83,0.04946393765814078,3.1299646687394342
DRF_1,45,BW,2.12,-0.28766904237587587,2.7928316887054176
DRF_1,46,BW,2.02,-0.34805981965180055,2.732440911429493
DRF_1,47,BW,2.21,-0.5336523817863046,2.546848349294989
DRF_1,48,BW,2.23,-0.6549974110260683,2.425503320055225
DRF_1,1,TA,6.45,0.1034470941457481,3.1839478252270417
DRF_1,2,TA,6,0.016047605841655044,3.0965483369229485
DRF_1,3,TA,6.3,0.05554413361943178,3.1360448647007253
DRF_1,4,TA,6.6,0.12546829297615822,3.2059690240574517
DRF_1,5,TA,6.3,-0.007641173398111489,3.072859557683182
DRF_1,6,TA,6.9,0.10457785072469541,3.185078581805989
DRF_1,7,TA,6.45,0.06972998888258947,3.150230719963883
DRF_1,8,TA,6.6,0.15165844282995777,3.2321591739112514
DRF_1,9,TA,6.53,0.13233278493522124,3.2128335160165147
DRF_1,10,TA,7.2,0.19394188581241512,3.2744426168937086
DRF_1,11,TA,6.6,0.13199013142644972,3.2124908625077433
DRF_1,12,TA,6.75,0.12585663369568,3.2063573647769736
DRF_1,13,TA,5.85,-0.21852156447998217,2.8619791666013112
DRF_1,14,TA,5.7,-0.12649625380746754,2.954004477273826
DRF_1,15,TA,6.75,0.11645650569545597,3.1969572367767496
DRF_1,16,TA,7.28,0.2240497074498421,3.3045504385311357
DRF_1,17,TA,6.6,0.12214455394106946,3.202645285022363
DRF_1,18,TA,6.6,0.12408625715744374,3.2045869882387374
DRF_1,19,TA,5.55,-0.12195038392442785,2.9585503471568657
DRF_1,20,TA,5.55,-0.07566931667296528,3.0048314144083283
